date,Norway,Norway_monthly
2020-05-21,60,22.0
2020-05-22,57,22.0
2020-05-23,45,22.0
2020-05-24,74,19.0
2020-05-25,61,19.0
2020-05-26,71,19.0
2020-05-27,61,19.0
2020-05-28,59,19.0
2020-05-29,57,19.0
2020-05-30,49,19.0
2020-05-31,47,19.0
2020-06-01,54,19.0
2020-06-02,76,19.0
2020-06-03,80,19.0
2020-06-04,72,19.0
2020-06-05,66,19.0
2020-06-06,60,19.0
2020-06-07,80,21.0
2020-06-08,82,21.0
2020-06-09,62,21.0
2020-06-10,91,21.0
2020-06-11,49,21.0
2020-06-12,100,21.0
2020-06-13,68,21.0
2020-06-14,86,23.0
2020-06-15,91,23.0
2020-06-16,93,23.0
2020-06-17,77,23.0
2020-06-18,81,23.0
2020-06-19,54,23.0
2020-06-20,74,23.0
2020-06-21,73,22.0
2020-06-22,77,22.0
2020-06-23,65,22.0
2020-06-24,68,22.0
2020-06-25,99,22.0
2020-06-26,66,22.0
2020-06-27,65,22.0
2020-06-28,74,21.0
2020-06-29,84,21.0
2020-06-30,75,21.0
2020-07-01,67,21.0
2020-07-02,52,21.0
2020-07-03,66,21.0
2020-07-04,60,21.0
2020-07-05,73,23.0
2020-07-06,64,23.0
2020-07-07,84,23.0
2020-07-08,83,23.0
2020-07-09,72,23.0
2020-07-10,81,23.0
2020-07-11,71,23.0
2020-07-12,68,22.0
2020-07-13,87,22.0
2020-07-14,84,22.0
2020-07-15,72,22.0
2020-07-16,50,22.0
2020-07-17,86,22.0
2020-07-18,69,22.0
2020-07-19,65,22.0
2020-07-20,81,22.0
2020-07-21,61,22.0
2020-07-22,61,22.0
2020-07-23,76,22.0
2020-07-24,100,22.0
2020-07-25,64,22.0
2020-07-26,78,26.0
2020-07-27,80,26.0
2020-07-28,69,26.0
2020-07-29,74,26.0
2020-07-30,89,26.0
2020-07-31,97,26.0
2020-08-01,64,26.0
2020-08-02,59,42.0
2020-08-03,71,42.0
2020-08-04,77,42.0
2020-08-05,75,42.0
2020-08-06,95,42.0
2020-08-07,90,42.0
2020-08-08,82,42.0
2020-08-09,75,42.0
2020-08-10,92,42.0
2020-08-11,80,42.0
2020-08-12,100,42.0
2020-08-13,86,42.0
2020-08-14,78,42.0
2020-08-15,75,42.0
2020-08-16,75,37.0
2020-08-17,94,37.0
2020-08-18,85,37.0
2020-08-19,74,37.0
2020-08-20,68,37.0
2020-08-21,58,37.0
2020-08-22,54,37.0
2020-08-23,65,34.0
2020-08-24,62,34.0
2020-08-25,66,34.0
2020-08-26,87,34.0
2020-08-27,76,34.0
2020-08-28,62,34.0
2020-08-29,52,34.0
2020-08-30,56,31.0
2020-08-31,78,31.0
2020-09-01,100,31.0
2020-09-02,68,31.0
2020-09-03,66,31.0
2020-09-04,70,31.0
2020-09-05,60,31.0
2020-09-06,60,27.0
2020-09-07,95,27.0
2020-09-08,78,27.0
2020-09-09,79,27.0
2020-09-10,74,27.0
2020-09-11,57,27.0
2020-09-12,50,27.0
2020-09-13,71,25.0
2020-09-14,59,25.0
2020-09-15,75,25.0
2020-09-16,60,25.0
2020-09-17,66,25.0
2020-09-18,72,25.0
2020-09-19,55,25.0
2020-09-20,71,27.0
2020-09-21,64,27.0
2020-09-22,86,27.0
2020-09-23,80,27.0
2020-09-24,64,27.0
2020-09-25,63,27.0
2020-09-26,66,27.0
2020-09-27,64,30.0
2020-09-28,74,30.0
2020-09-29,76,30.0
2020-09-30,70,30.0
2020-10-01,44,30.0
2020-10-02,87,30.0
2020-10-03,59,30.0
2020-10-04,64,30.0
2020-10-05,58,30.0
2020-10-06,59,30.0
2020-10-07,59,30.0
2020-10-08,66,30.0
2020-10-09,53,30.0
2020-10-10,48,30.0
2020-10-11,56,28.0
2020-10-12,54,28.0
2020-10-13,61,28.0
2020-10-14,50,28.0
2020-10-15,60,28.0
2020-10-16,50,28.0
2020-10-17,43,28.0
2020-10-18,48,30.0
2020-10-19,64,30.0
2020-10-20,53,30.0
2020-10-21,61,30.0
2020-10-22,52,30.0
2020-10-23,75,30.0
2020-10-24,51,30.0
2020-10-25,74,45.0
2020-10-26,92,45.0
2020-10-27,89,45.0
2020-10-28,91,45.0
2020-10-29,87,45.0
2020-10-30,100,45.0
2020-10-31,77,45.0
2020-11-01,68,49.0
2020-11-02,77,49.0
2020-11-03,77,49.0
2020-11-04,66,49.0
2020-11-05,91,49.0
2020-11-06,73,49.0
2020-11-07,64,49.0
2020-11-08,71,48.0
2020-11-09,100,48.0
2020-11-10,80,48.0
2020-11-11,70,48.0
2020-11-12,68,48.0
2020-11-13,59,48.0
2020-11-14,55,48.0
2020-11-15,55,37.0
2020-11-16,75,37.0
2020-11-17,65,37.0
2020-11-18,61,37.0
2020-11-19,50,37.0
2020-11-20,51,37.0
2020-11-21,39,37.0
2020-11-22,47,32.0
2020-11-23,58,32.0
2020-11-24,58,32.0
2020-11-25,48,32.0
2020-11-26,53,32.0
2020-11-27,37,32.0
2020-11-28,37,32.0
2020-11-29,43,30.0
2020-11-30,44,30.0
2020-12-01,55,30.0
2020-12-02,59,30.0
2020-12-03,68,30.0
2020-12-04,69,30.0
2020-12-05,56,30.0
2020-12-06,67,34.0
2020-12-07,63,34.0
2020-12-08,76,34.0
2020-12-09,66,34.0
2020-12-10,76,34.0
2020-12-11,60,34.0
2020-12-12,55,34.0
2020-12-13,66,40.0
2020-12-14,82,40.0
2020-12-15,85,40.0
2020-12-16,77,40.0
2020-12-17,84,40.0
2020-12-18,79,40.0
2020-12-19,96,40.0
2020-12-20,82,42.0
2020-12-21,100,42.0
2020-12-22,84,42.0
2020-12-23,71,42.0
2020-12-24,54,42.0
2020-12-25,67,42.0
2020-12-26,84,42.0
2020-12-27,100,45.0
2020-12-28,78,45.0
2020-12-29,96,45.0
2020-12-30,94,45.0
2020-12-31,77,45.0
2021-01-01,57,45.0
2021-01-02,71,45.0
2021-01-03,99,53.0
2021-01-04,97,53.0
2021-01-05,100,53.0
2021-01-06,89,53.0
2021-01-07,70,53.0
2021-01-08,79,53.0
2021-01-09,64,53.0
2021-01-10,70,42.0
2021-01-11,77,42.0
2021-01-12,73,42.0
2021-01-13,61,42.0
2021-01-14,65,42.0
2021-01-15,73,42.0
2021-01-16,56,42.0
2021-01-17,48,40.0
2021-01-18,73,40.0
2021-01-19,64,40.0
2021-01-20,58,40.0
2021-01-21,55,40.0
2021-01-22,66,40.0
2021-01-23,87,40.0
2021-01-24,95,44.0
2021-01-25,76,44.0
2021-01-26,78,44.0
2021-01-27,77,44.0
2021-01-28,62,44.0
2021-01-29,62,44.0
2021-01-30,48,44.0
2021-01-31,61,36.0
2021-02-01,100,36.0
2021-02-02,85,36.0
2021-02-03,81,36.0
2021-02-04,72,36.0
2021-02-05,76,36.0
2021-02-06,54,36.0
2021-02-07,83,34.0
2021-02-08,77,34.0
2021-02-09,86,34.0
2021-02-10,98,34.0
2021-02-11,73,34.0
2021-02-12,61,34.0
2021-02-13,57,34.0
2021-02-14,62,36.0
2021-02-15,85,36.0
2021-02-16,94,36.0
2021-02-17,90,36.0
2021-02-18,86,36.0
2021-02-19,88,36.0
2021-02-20,56,36.0
2021-02-21,73,38.0
2021-02-22,91,38.0
2021-02-23,86,38.0
2021-02-24,78,38.0
2021-02-25,87,38.0
2021-02-26,82,38.0
2021-02-27,82,38.0
2021-02-28,95,46.0
2021-03-01,89,46.0
2021-03-02,72,46.0
2021-03-03,78,46.0
2021-03-04,85,46.0
2021-03-05,70,46.0
2021-03-06,58,46.0
2021-03-07,78,50.0
2021-03-08,71,50.0
2021-03-09,83,50.0
2021-03-10,90,50.0
2021-03-11,75,50.0
2021-03-12,83,50.0
2021-03-13,67,50.0
2021-03-14,79,53.0
2021-03-15,81,53.0
2021-03-16,96,53.0
2021-03-17,89,53.0
2021-03-18,100,53.0
2021-03-19,79,53.0
2021-03-20,77,53.0
2021-03-21,83,49.0
2021-03-22,82,49.0
2021-03-23,73,49.0
2021-03-24,81,49.0
2021-03-25,89,49.0
2021-03-26,80,49.0
2021-03-27,71,49.0
2021-03-28,79,45.0
2021-03-29,86,45.0
2021-03-30,79,45.0
2021-03-31,69,45.0
2021-04-01,92,45.0
2021-04-02,93,45.0
2021-04-03,71,45.0
2021-04-04,82,40.0
2021-04-05,85,40.0
2021-04-06,91,40.0
2021-04-07,99,40.0
2021-04-08,100,40.0
2021-04-09,98,40.0
2021-04-10,97,40.0
2021-04-11,86,41.0
2021-04-12,97,41.0
2021-04-13,95,41.0
2021-04-14,95,41.0
2021-04-15,88,41.0
2021-04-16,85,41.0
2021-04-17,73,41.0
2021-04-18,75,38.0
2021-04-19,91,38.0
2021-04-20,78,38.0
2021-04-21,84,38.0
2021-04-22,98,38.0
2021-04-23,74,38.0
2021-04-24,84,38.0
2021-04-25,82,38.0
2021-04-26,100,38.0
2021-04-27,92,38.0
2021-04-28,93,38.0
2021-04-29,79,38.0
2021-04-30,72,38.0
2021-05-01,73,38.0
2021-05-02,84,40.0
2021-05-03,86,40.0
2021-05-04,88,40.0
2021-05-05,89,40.0
2021-05-06,76,40.0
2021-05-07,63,40.0
2021-05-08,56,40.0
2021-05-09,77,37.0
2021-05-10,86,37.0
2021-05-11,72,37.0
2021-05-12,77,37.0
2021-05-13,83,37.0
2021-05-14,81,37.0
2021-05-15,51,37.0
2021-05-16,49,39.0
2021-05-17,82,39.0
2021-05-18,79,39.0
2021-05-19,93,39.0
2021-05-20,83,39.0
2021-05-21,98,39.0
2021-05-22,66,39.0
2021-05-23,85,44.0
2021-05-24,95,44.0
2021-05-25,100,44.0
2021-05-26,84,44.0
2021-05-27,85,44.0
2021-05-28,76,44.0
2021-05-29,80,44.0
2021-05-30,77,40.0
2021-05-31,80,40.0
2021-06-01,63,40.0
2021-06-02,95,40.0
2021-06-03,76,40.0
2021-06-04,67,40.0
2021-06-05,67,40.0
2021-06-06,66,42.0
2021-06-07,76,42.0
2021-06-08,83,42.0
2021-06-09,85,42.0
2021-06-10,61,42.0
2021-06-11,75,42.0
2021-06-12,56,42.0
2021-06-13,66,42.0
2021-06-14,78,42.0
2021-06-15,71,42.0
2021-06-16,70,42.0
2021-06-17,73,42.0
2021-06-18,88,42.0
2021-06-19,63,42.0
2021-06-20,75,48.0
2021-06-21,81,48.0
2021-06-22,79,48.0
2021-06-23,100,48.0
2021-06-24,97,48.0
2021-06-25,83,48.0
2021-06-26,67,48.0
2021-06-27,79,56.0
2021-06-28,98,56.0
2021-06-29,100,56.0
2021-06-30,85,56.0
2021-07-01,100,56.0
2021-07-02,100,56.0
2021-07-03,72,56.0
2021-07-04,75,50.0
2021-07-05,88,50.0
2021-07-06,82,50.0
2021-07-07,73,50.0
2021-07-08,98,50.0
2021-07-09,77,50.0
2021-07-10,65,50.0
2021-07-11,56,46.0
2021-07-12,70,46.0
2021-07-13,84,46.0
2021-07-14,88,46.0
2021-07-15,79,46.0
2021-07-16,83,46.0
2021-07-17,54,46.0
2021-07-18,62,45.0
2021-07-19,66,45.0
2021-07-20,70,45.0
2021-07-21,97,45.0
2021-07-22,89,45.0
2021-07-23,72,45.0
2021-07-24,69,45.0
2021-07-25,65,47.0
2021-07-26,76,47.0
2021-07-27,71,47.0
2021-07-28,83,47.0
2021-07-29,76,47.0
2021-07-30,90,47.0
2021-07-31,70,47.0
2021-08-01,66,50.0
2021-08-02,73,50.0
2021-08-03,70,50.0
2021-08-04,70,50.0
2021-08-05,67,50.0
2021-08-06,72,50.0
2021-08-07,53,50.0
2021-08-08,56,46.0
2021-08-09,59,46.0
2021-08-10,75,46.0
2021-08-11,69,46.0
2021-08-12,70,46.0
2021-08-13,56,46.0
2021-08-14,53,46.0
2021-08-15,52,48.0
2021-08-16,53,48.0
2021-08-17,56,48.0
2021-08-18,71,48.0
2021-08-19,76,48.0
2021-08-20,72,48.0
2021-08-21,62,48.0
2021-08-22,65,65.0
2021-08-23,80,65.0
2021-08-24,85,65.0
2021-08-25,93,65.0
2021-08-26,100,65.0
2021-08-27,90,65.0
2021-08-28,81,65.0
2021-08-29,81,69.0
2021-08-30,100,69.0
2021-08-31,97,69.0
2021-09-01,100,69.0
2021-09-02,93,69.0
2021-09-03,70,69.0
2021-09-04,77,69.0
2021-09-05,74,54.0
2021-09-06,75,54.0
2021-09-07,78,54.0
2021-09-08,67,54.0
2021-09-09,72,54.0
2021-09-10,65,54.0
2021-09-11,47,54.0
2021-09-12,66,44.0
2021-09-13,63,44.0
2021-09-14,50,44.0
2021-09-15,56,44.0
2021-09-16,57,44.0
2021-09-17,56,44.0
2021-09-18,35,44.0
2021-09-19,53,42.0
2021-09-20,58,42.0
2021-09-21,53,42.0
2021-09-22,49,42.0
2021-09-23,51,42.0
2021-09-24,57,42.0
2021-09-25,59,42.0
2021-09-26,46,35.0
2021-09-27,51,35.0
2021-09-28,41,35.0
2021-09-29,53,35.0
2021-09-30,41,35.0
2021-10-01,87,35.0
2021-10-02,71,35.0
2021-10-03,71,28.0
2021-10-04,65,28.0
2021-10-05,91,28.0
2021-10-06,62,28.0
2021-10-07,75,28.0
2021-10-08,54,28.0
2021-10-09,49,28.0
2021-10-10,64,26.0
2021-10-11,64,26.0
2021-10-12,62,26.0
2021-10-13,80,26.0
2021-10-14,62,26.0
2021-10-15,50,26.0
2021-10-16,70,26.0
2021-10-17,68,31.0
2021-10-18,83,31.0
2021-10-19,87,31.0
2021-10-20,76,31.0
2021-10-21,100,31.0
2021-10-22,63,31.0
2021-10-23,72,31.0
2021-10-24,76,32.0
2021-10-25,66,32.0
2021-10-26,82,32.0
2021-10-27,78,32.0
2021-10-28,98,32.0
2021-10-29,81,32.0
2021-10-30,67,32.0
2021-10-31,91,42.0
2021-11-01,63,42.0
2021-11-02,72,42.0
2021-11-03,82,42.0
2021-11-04,68,42.0
2021-11-05,62,42.0
2021-11-06,46,42.0
2021-11-07,70,48.0
2021-11-08,77,48.0
2021-11-09,64,48.0
2021-11-10,87,48.0
2021-11-11,88,48.0
2021-11-12,73,48.0
2021-11-13,65,48.0
2021-11-14,74,52.0
2021-11-15,89,52.0
2021-11-16,72,52.0
2021-11-17,89,52.0
2021-11-18,80,52.0
2021-11-19,85,52.0
2021-11-20,70,52.0
2021-11-21,71,54.0
2021-11-22,77,54.0
2021-11-23,100,54.0
2021-11-24,80,54.0
2021-11-25,79,54.0
2021-11-26,77,54.0
2021-11-27,86,54.0
2021-11-28,90,66.0
2021-11-29,94,66.0
2021-11-30,99,66.0
2021-12-01,62,66.0
2021-12-02,63,66.0
2021-12-03,67,66.0
2021-12-04,53,66.0
2021-12-05,56,78.0
2021-12-06,72,78.0
2021-12-07,80,78.0
2021-12-08,82,78.0
2021-12-09,70,78.0
2021-12-10,63,78.0
2021-12-11,57,78.0
2021-12-12,72,100.0
2021-12-13,100,100.0
2021-12-14,92,100.0
2021-12-15,91,100.0
2021-12-16,85,100.0
2021-12-17,79,100.0
2021-12-18,76,100.0
2021-12-19,69,71.0
2021-12-20,74,71.0
2021-12-21,66,71.0
2021-12-22,70,71.0
2021-12-23,50,71.0
2021-12-24,56,71.0
2021-12-25,49,71.0
2021-12-26,52,57.0
2021-12-27,61,57.0
2021-12-28,57,57.0
2021-12-29,45,57.0
2021-12-30,46,57.0
2021-12-31,49,57.0
2022-01-01,44,57.0
2022-01-02,67,68.0
2022-01-03,66,68.0
2022-01-04,64,68.0
2022-01-05,72,68.0
2022-01-06,62,68.0
2022-01-07,50,68.0
2022-01-08,48,68.0
2022-01-09,59,64.0
2022-01-10,60,64.0
2022-01-11,60,64.0
2022-01-12,58,64.0
2022-01-13,59,64.0
2022-01-14,62,64.0
2022-01-15,49,64.0
2022-01-16,58,90.0
2022-01-17,60,90.0
2022-01-18,100,90.0
2022-01-19,84,90.0
2022-01-20,88,90.0
2022-01-21,87,90.0
2022-01-22,63,90.0
2022-01-23,76,84.0
2022-01-24,81,84.0
2022-01-25,77,84.0
2022-01-26,71,84.0
2022-01-27,72,84.0
2022-01-28,65,84.0
2022-01-29,67,84.0
2022-01-30,64,77.0
2022-01-31,81,77.0
2022-02-01,97,77.0
2022-02-02,90,77.0
2022-02-03,80,77.0
2022-02-04,70,77.0
2022-02-05,73,77.0
2022-02-06,95,82.0
2022-02-07,92,82.0
2022-02-08,92,82.0
2022-02-09,100,82.0
2022-02-10,87,82.0
2022-02-11,74,82.0
2022-02-12,84,82.0
2022-02-13,62,70.0
2022-02-14,76,70.0
2022-02-15,80,70.0
2022-02-16,84,70.0
2022-02-17,77,70.0
2022-02-18,76,70.0
2022-02-19,66,70.0
2022-02-20,86,74.0
2022-02-21,96,74.0
2022-02-22,86,74.0
2022-02-23,86,74.0
2022-02-24,65,74.0
2022-02-25,69,74.0
2022-02-26,67,74.0
2022-02-27,58,53.0
2022-02-28,65,53.0
2022-03-01,100,53.0
2022-03-02,93,53.0
2022-03-03,82,53.0
2022-03-04,76,53.0
2022-03-05,80,53.0
2022-03-06,81,49.0
2022-03-07,94,49.0
2022-03-08,87,49.0
2022-03-09,84,49.0
2022-03-10,83,49.0
2022-03-11,66,49.0
2022-03-12,66,49.0
2022-03-13,73,37.0
2022-03-14,80,37.0
2022-03-15,76,37.0
2022-03-16,67,37.0
2022-03-17,60,37.0
2022-03-18,47,37.0
2022-03-19,46,37.0
2022-03-20,72,33.0
2022-03-21,66,33.0
2022-03-22,57,33.0
2022-03-23,60,33.0
2022-03-24,49,33.0
2022-03-25,41,33.0
2022-03-26,42,33.0
2022-03-27,58,28.0
2022-03-28,53,28.0
2022-03-29,50,28.0
2022-03-30,40,28.0
2022-03-31,48,28.0
2022-04-01,79,28.0
2022-04-02,75,28.0
2022-04-03,100,25.0
2022-04-04,96,25.0
2022-04-05,89,25.0
2022-04-06,92,25.0
2022-04-07,87,25.0
2022-04-08,88,25.0
2022-04-09,68,25.0
2022-04-10,83,21.0
2022-04-11,75,21.0
2022-04-12,86,21.0
2022-04-13,80,21.0
2022-04-14,65,21.0
2022-04-15,66,21.0
2022-04-16,49,21.0
2022-04-17,62,20.0
2022-04-18,69,20.0
2022-04-19,73,20.0
2022-04-20,63,20.0
2022-04-21,59,20.0
2022-04-22,62,20.0
2022-04-23,46,20.0
2022-04-24,54,17.0
2022-04-25,68,17.0
2022-04-26,48,17.0
2022-04-27,49,17.0
2022-04-28,52,17.0
2022-04-29,48,17.0
2022-04-30,46,17.0
2022-05-01,63,16.0
2022-05-02,88,16.0
2022-05-03,69,16.0
2022-05-04,74,16.0
2022-05-05,74,16.0
2022-05-06,42,16.0
2022-05-07,55,16.0
2022-05-08,74,17.0
2022-05-09,73,17.0
2022-05-10,72,17.0
2022-05-11,86,17.0
2022-05-12,66,17.0
2022-05-13,65,17.0
2022-05-14,51,17.0
2022-05-15,72,17.0
2022-05-16,65,17.0
2022-05-17,100,17.0
2022-05-18,73,17.0
2022-05-19,71,17.0
2022-05-20,59,17.0
2022-05-21,49,17.0
2022-05-22,70,18.0
2022-05-23,79,18.0
2022-05-24,71,18.0
2022-05-25,76,18.0
2022-05-26,70,18.0
2022-05-27,64,18.0
2022-05-28,76,18.0
2022-05-29,89,17.0
2022-05-30,80,17.0
2022-05-31,54,17.0
2022-06-01,54,17.0
2022-06-02,55,17.0
2022-06-03,41,17.0
2022-06-04,42,17.0
2022-06-05,48,21.0
2022-06-06,65,21.0
2022-06-07,61,21.0
2022-06-08,69,21.0
2022-06-09,64,21.0
2022-06-10,63,21.0
2022-06-11,45,21.0
2022-06-12,44,22.0
2022-06-13,55,22.0
2022-06-14,72,22.0
2022-06-15,81,22.0
2022-06-16,62,22.0
2022-06-17,58,22.0
2022-06-18,65,22.0
2022-06-19,98,29.0
2022-06-20,88,29.0
2022-06-21,96,29.0
2022-06-22,100,29.0
2022-06-23,77,29.0
2022-06-24,88,29.0
2022-06-25,69,29.0
2022-06-26,88,28.0
2022-06-27,95,28.0
2022-06-28,96,28.0
2022-06-29,68,28.0
2022-06-30,85,28.0
2022-07-01,79,28.0
2022-07-02,72,28.0
2022-07-03,81,27.0
2022-07-04,97,27.0
2022-07-05,82,27.0
2022-07-06,78,27.0
2022-07-07,83,27.0
2022-07-08,82,27.0
2022-07-09,67,27.0
2022-07-10,75,26.0
2022-07-11,100,26.0
2022-07-12,75,26.0
2022-07-13,78,26.0
2022-07-14,77,26.0
2022-07-15,78,26.0
2022-07-16,62,26.0
2022-07-17,62,21.0
2022-07-18,70,21.0
2022-07-19,83,21.0
2022-07-20,68,21.0
2022-07-21,65,21.0
2022-07-22,60,21.0
2022-07-23,55,21.0
2022-07-24,57,21.0
2022-07-25,51,21.0
2022-07-26,58,21.0
2022-07-27,65,21.0
2022-07-28,78,21.0
2022-07-29,66,21.0
2022-07-30,64,21.0
2022-07-31,71,19.0
